Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_706,706,35,0,0,0,0,0,4.250,276.375,280.625,153.593,706,112.872,847.427,0,36.366,51.650,22.180,36.040,7.063,236.411,316.503,157.623,242.568,40.702
Track_709,709,18,6,14,0,0,0,7.875,275.375,283.250,0.021,709,487.880,870.063,0,0.112,0.222,0.005,0.113,0.086,180.058,180.950,179.089,180.139,0.578
Track_711,711,24,0,0,0,0,0,2.875,277.750,280.625,134.796,711,1052.165,959.034,0,46.899,53.515,41.801,45.650,3.681,196.314,211.093,180.329,198.357,8.159
Track_713,713,17,0,0,0,0,0,2.000,277.500,279.500,76.007,713,96.148,1004.542,0,38.012,46.778,28.646,38.274,5.846,208.402,229.119,182.984,210.398,12.890
Track_714,714,18,0,0,0,0,0,2.125,278.500,280.625,90.841,714,697.525,739.137,0,42.754,49.713,35.576,43.274,4.374,309.133,333.899,273.114,309.911,12.878
Track_717,717,15,3,1,0,0,0,2.125,278.375,280.500,80.046,717,511.381,845.862,0,37.333,52.006,27.827,36.419,6.223,179.114,214.398,146.525,176.292,19.358
Track_718,718,165,0,0,0,0,0,20.500,279.375,299.875,507.772,718,262.914,413.541,0,24.824,42.450,5.200,24.235,5.171,216.293,347.424,121.237,215.246,22.770
Track_720,720,16,1,2,0,0,0,2.125,279.125,281.250,69.319,720,98.466,956.292,0,33.014,59.136,21.912,29.333,12.276,132.645,159.385,111.056,133.373,13.418
Track_721,721,21,0,0,0,0,0,2.500,281.375,283.875,104.211,721,1219.938,962.822,0,41.726,50.379,31.201,42.310,6.862,200.347,216.149,192.076,199.254,5.759
Track_722,722,141,2,3,0,0,0,18.125,281.750,299.875,561.353,722,450.017,963.969,0,31.184,52.346,21.447,30.413,5.775,136.558,175.100,110.640,136.617,14.288
Track_723,723,16,1,2,0,0,0,2.125,282,284.125,70.187,723,1164.423,973.785,0,33.730,55.395,27.368,33.703,6.795,130.537,161.834,114.678,127.378,12.088
Track_724,724,25,0,0,0,0,0,3.000,281,284.000,124.851,724,265.167,1007.053,0,41.626,49.503,32.587,42.768,5.151,203.445,229.565,168.836,206.494,15.967
Track_725,725,158,0,0,0,0,0,19.625,280.250,299.875,513.441,725,270.351,997.656,0,26.182,61.397,0.000,25.281,6.398,253.303,440.773,212.019,251.734,23.115
Track_726,726,20,1,2,0,0,0,2.625,281.750,284.375,74.491,726,1081.667,1018.782,0,29.267,39.613,20.143,29.123,6.376,138.481,164.515,115.718,139.707,13.194
Track_727,727,52,0,0,0,0,0,6.375,280.875,287.250,171.230,727,982.493,526.375,0,27.923,54.488,2.750,30.827,13.862,169.916,201.217,133.706,177.211,22.055
Track_729,729,25,0,0,0,0,0,3.000,280.875,283.875,112.756,729,265.606,847.063,0,38.103,55.676,19.529,39.560,10.191,232.908,327.309,152.735,230.708,45.380
Track_730,730,14,1,1,0,0,0,1.750,282.125,283.875,65.304,730,659.378,848.066,0,37.052,44.427,30.325,37.261,4.366,175.260,205.758,154.797,177.418,15.347
Track_734,734,135,3,1,0,0,0,17.125,282.750,299.875,540.106,734,275.747,449.748,0,31.450,52.180,16.872,30.192,6.082,218.524,290.582,149.121,220.070,19.394
Track_735,735,41,1,1,0,0,0,5.125,282.500,287.625,157.668,735,1194.578,809.019,0,30.594,48.879,21.428,28.014,8.693,152.695,183.322,112.646,157.613,18.049
Track_740,740,22,0,0,0,0,0,2.625,284.250,286.875,86.405,740,1290.637,621.366,0,32.931,46.715,19.734,28.846,9.011,174.727,201.630,145.545,175.490,15.786
Track_743,743,15,0,0,0,0,0,1.750,285.250,287.000,31.555,743,759.428,844.870,0,19.117,63.174,3.996,15.352,18.367,192.154,215.698,132.718,199.425,22.926
Track_744,744,63,1,1,0,0,0,7.875,284.125,292.000,262.346,744,463.363,852.713,0,33.392,50.074,21.338,32.126,7.101,210.562,279.427,135.086,206.522,31.393
Track_745,745,21,0,0,0,0,0,2.500,284.625,287.125,75.472,745,1264.597,974.670,0,30.197,43.345,22.751,29.769,6.082,147.887,176.056,127.484,145.324,14.237
Track_746,746,20,1,3,0,0,0,2.750,284.750,287.500,74.943,746,1168.290,1016.881,0,28.216,45.476,19.598,27.304,7.053,132.056,148.145,111.267,135.317,10.199
