Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_0,0,55,1,9,0,0,0,7.875,0,7.875,54.814,0,1129.196,865.174,0,7.275,14.138,2.824,7.090,2.128,218.209,260.496,124.659,227.818,33.002
Track_1,1,697,0,0,0,0,0,87.000,0,87.000,673.110,1,979.971,861.065,0,7.792,36.976,0.000,7.587,3.531,330.434,490.912,168.330,344.011,65.269
Track_2,2,658,0,0,0,0,0,82.125,0,82.125,732.422,2,957.532,873.654,0,8.955,33.055,0.000,9.023,3.770,579.516,698.614,334.506,575.263,78.215
Track_3,3,836,0,0,0,0,0,104.375,0,104.375,863.872,3,716.253,878.662,0,8.527,115.781,0.184,8.451,4.962,256.309,336.718,124.647,257.321,33.756
Track_4,4,535,0,0,0,0,0,66.750,0,66.750,518.175,4,1087.640,895.464,0,7.803,26.007,0.000,7.793,3.845,410.046,567.260,232.573,404.009,65.734
Track_5,5,113,0,0,0,0,0,14.000,0,14.000,108.664,5,1283.398,913.875,0,7.971,27.677,0.000,8.498,4.644,200.231,361.360,170.898,194.884,34.505
Track_6,6,2379,2,13,0,0,0,299.875,0,299.875,0.009,6,1236.655,318.122,0,0.192,5.684,4.398E-4,0.125,0.398,314.760,349.850,148.398,315.058,8.257
Track_7,7,2400,0,0,0,0,0,299.875,0,299.875,0.027,7,595.030,955.942,0,0.317,34.750,0.005,0.254,0.744,409.591,471.256,348.340,412.823,23.858
Track_8,8,378,1,2,0,0,0,47.375,0,47.375,376.689,8,1145.232,337.996,0,8.068,24.655,0.000,7.967,3.387,235.125,404.153,120.798,236.584,58.099
Track_9,9,2144,1,3,0,0,0,268.250,0,268.250,921.654,9,920.418,961.138,0,3.670,17.771,0.017,1.131,3.975,233.088,351.404,124.382,220.941,34.099
Track_10,10,2400,0,0,0,0,0,299.875,0,299.875,0.030,10,504.180,348.463,0,0.220,28.097,0.005,0.165,0.605,355.806,401.660,333.742,354.336,8.239
Track_11,11,1498,0,0,0,0,0,187.125,0,187.125,1219.993,11,701.792,349.331,0,6.605,32.538,0.000,6.590,2.919,197.654,294.911,131.203,195.856,27.347
Track_12,12,682,4,7,0,0,0,86.750,0,86.750,589.574,12,762.017,363.033,0,6.829,17.626,0.263,6.723,3.094,221.179,301.073,120.384,230.826,44.162
Track_13,13,2147,0,0,0,0,0,268.250,0,268.250,3.450,13,1050.953,389.815,0,0.217,3.023,0.004,0.162,0.234,199.419,265.272,188.662,197.528,10.183
Track_14,14,1309,0,0,0,0,0,163.500,0,163.500,1207.793,14,743.643,1018.777,0,7.484,28.830,0.000,7.391,3.305,446.718,636.316,210.263,444.697,75.211
Track_15,15,613,0,0,0,0,0,76.500,0,76.500,732.738,15,972.429,379.105,0,9.628,38.187,0.000,9.677,4.334,686.215,801.275,267.955,702.168,59.428
Track_16,16,246,0,0,0,0,0,30.625,0,30.625,182.097,16,970.580,396.593,0,6.072,14.795,0.164,6.229,3.488,183.290,269.702,124.530,171.298,43.511
Track_17,17,2400,0,0,0,0,0,299.875,0,299.875,0.017,17,457.614,444.436,0,0.274,28.373,0.004,0.214,0.618,182.389,253.655,144.377,181.014,7.988
Track_18,18,652,0,0,0,0,0,81.375,0,81.375,0.949,18,454.054,451.380,0,0.428,2.275,0.010,0.358,0.300,136.865,146.116,131.707,136.596,2.118
Track_19,19,1940,2,7,0,0,0,243.875,0,243.875,1.752,19,1061.737,470.786,0,0.812,9.514,0.000,0.657,0.634,135.503,149.736,132.204,135.377,1.526
Track_20,20,1118,1,1,0,0,0,139.750,0,139.750,1.702,20,1057.609,491.070,0,1.959,23.969,0.000,1.593,1.745,145.933,155.474,141.617,145.904,1.103
Track_21,21,2400,0,0,0,0,0,299.875,0,299.875,0.038,21,1180.910,500.441,0,0.260,26.152,0.007,0.215,0.569,220.663,253.665,211.060,220.624,3.243
Track_22,22,2400,0,0,0,0,0,299.875,0,299.875,0.026,22,456.176,538.916,0,0.241,23.272,0.003,0.192,0.516,248.832,306.404,201.369,247.719,8.059
Track_23,23,2399,1,1,0,0,0,299.875,0,299.875,0.015,23,669.287,546.434,0,0.201,13.621,0.003,0.154,0.358,259.413,317.095,219.082,258.157,7.469
Track_24,24,281,0,0,0,0,0,35.000,0,35.000,232.340,24,1216.562,538.984,0,6.819,42.966,0.000,6.707,4.134,328.210,633.971,175.869,338.680,67.255
