Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_0,0,60,0,0,0,0,0,7.375,0.000,7.375,266.101,0,1201.875,821.215,0,36.093,65.528,0.000,36.640,7.658,518.694,648.628,294.709,517.046,39.375
Track_1,1,121,0,0,0,0,0,15.000,0.000,15.000,236.528,1,1148.809,695.642,0,15.899,57.351,0.015,0.764,18.269,588.009,614.346,536.227,586.833,9.988
Track_2,2,270,4,5,0,0,0,35.625,0.000,35.625,1088.633,2,819.532,721.127,0,30.588,57.366,5.200,30.486,6.577,241.729,406.654,110.765,245.126,57.734
Track_3,3,2275,3,3,0,0,0,285.250,0.000,285.250,50.653,3,1281.041,758.618,0,0.527,74.021,9.281E-4,0.074,3.651,430.320,583.859,190.523,430.482,11.906
Track_4,4,28,0,0,0,0,0,3.375,0.000,3.375,127.660,4,1266.008,852.371,0,37.836,47.158,30.315,37.478,4.066,435.310,521.544,367.693,430.410,44.156
Track_5,5,215,0,0,0,0,0,26.750,0.000,26.750,1098.833,5,776.511,293.473,0,41.110,77.169,5.200,40.907,8.165,572.812,696.320,313.686,597.717,67.885
Track_6,6,108,0,0,0,0,0,13.375,0.000,13.375,377.571,6,1142.135,294.444,0,28.236,59.188,0.000,28.812,5.920,469.398,627.650,322.123,476.561,33.163
Track_7,7,189,0,0,0,0,0,23.500,0.000,23.500,477.086,7,1096.261,487.724,0,20.450,66.116,0.000,27.658,15.322,456.468,600.720,286.215,451.606,27.575
Track_8,8,148,0,0,0,0,0,18.375,0.000,18.375,688.588,8,991.496,944.304,0,37.593,92.388,13.973,37.441,9.190,235.717,358.629,128.080,235.081,33.101
Track_9,9,150,0,0,0,0,0,18.625,0.000,18.625,732.179,9,981.786,526.325,0,39.375,63.530,5.200,40.751,7.681,588.545,649.704,117.929,594.603,49.285
Track_11,11,2396,1,4,0,0,0,299.875,0.000,299.875,4.031,11,467.593,961.697,0,0.270,8.628,0.001,0.177,0.458,270.013,316.314,218.811,269.448,6.190
Track_12,12,404,0,0,0,0,0,50.375,0.000,50.375,1280.775,12,708.635,942.287,0,25.444,48.464,8.469,25.676,5.950,290.913,425.314,148.149,295.458,55.907
Track_13,13,56,3,5,0,0,0,8.125,0.000,8.125,181.491,13,1239.255,940.404,0,22.189,57.923,5.200,22.899,6.089,162.120,287.578,112.060,161.930,33.428
Track_14,14,55,0,0,0,0,0,6.750,0.000,6.750,247.071,14,1210.636,598.378,0,36.611,57.765,15.626,37.191,5.564,593.807,626.307,549.133,594.185,18.375
Track_15,15,414,1,4,0,0,0,52.125,0.000,52.125,1290.837,15,683.756,678.146,0,24.883,63.442,10.855,24.522,6.105,233.777,439.311,114.243,251.682,63.307
Track_16,16,241,0,0,0,0,0,30.000,0.000,30.000,70.485,16,1263.145,679.515,0,2.693,47.967,0.039,0.332,8.489,128.954,255.970,113.701,120.821,25.869
Track_17,17,160,2,3,0,0,0,20.375,0.500,20.875,598.926,17,1042.463,691.584,0,29.275,51.477,12.489,29.730,5.018,180.921,217.851,129.660,180.833,14.807
Track_18,18,43,0,0,0,0,0,5.250,0.000,5.250,202.597,18,234.199,547.071,0,38.668,60.741,27.137,35.805,8.891,160.204,230.714,113.326,153.936,31.262
Track_19,19,155,0,0,0,0,0,19.250,0.000,19.250,489.902,19,1092.817,965.697,0,25.562,70.204,5.200,25.802,6.058,487.142,585.669,201.637,487.220,42.094
