Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_119,119,14,1,7,0,0,0,2.500,89.375,91.875,10.508,119,1296.807,396.336,0,15.523,19.668,12.635,14.646,2.524,170.572,183.486,154.033,173.010,9.109
Track_124,124,1025,0,0,0,0,0,128.000,92,220.000,1330.551,124,703.270,674.498,0,10.591,56.913,0.000,8.059,10.890,547.546,729.208,269.842,568.265,61.382
Track_125,125,512,0,0,0,0,0,63.875,92.250,156.125,1330.566,125,673.163,729.635,0,20.880,57.835,0.000,21.402,7.011,384.715,641.811,243.793,383.259,47.177
Track_126,126,14,2,7,0,0,0,2.750,93.500,96.250,44.355,126,1136.796,436.395,0,16.298,18.988,12.118,16.278,1.799,158.751,172.159,150.781,157.703,6.692
Track_129,129,563,0,0,0,0,0,70.250,95,165.250,1330.551,129,705.162,408.351,0,18.974,56.182,0.000,19.002,6.955,423.564,669.516,252.677,428.256,42.852
Track_132,132,30,0,0,0,0,0,3.625,98.875,102.500,17.447,132,39.370,591.029,0,6.754,26.752,1.224,4.995,5.087,258.082,311.759,156.906,276.087,46.513
Track_133,133,16,0,0,0,0,0,1.875,100.250,102.125,16.209,133,385.022,447.163,0,8.657,12.783,5.888,8.333,2.251,154.210,159.301,150.115,154.136,2.338
Track_135,135,43,2,7,0,0,0,6.875,100.625,107.500,106.787,135,331.507,925.858,0,14.552,20.862,7.103,15.339,3.735,194.263,226.151,150.727,196.746,21.117
Track_136,136,610,0,0,0,0,0,76.125,100.750,176.875,1330.556,136,698.387,494.563,0,17.627,58.720,3.731,17.311,6.835,269.513,526.550,162.123,262.486,46.675
Track_138,138,24,1,5,0,0,0,3.500,103.750,107.250,51.199,138,440.641,447.305,0,14.818,17.256,12.862,14.874,1.235,160.680,166.836,151.112,162.496,4.555
