Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_49,49,23,0,0,0,0,0,2.750,31.250,34.000,5.992,49,155.145,248.917,0,2.568,6.934,0.611,2.065,1.756,124.146,126.152,122.395,124.058,1.119
Track_50,50,14,1,1,0,0,0,1.750,31.500,33.250,4.535,50,172.920,257.157,0,3.062,5.900,1.797,2.583,1.211,113.712,116.423,110.004,113.602,1.834
Track_51,51,14,1,1,0,0,0,1.750,31.375,33.125,3.038,51,287.301,603.710,0,3.332,6.450,0.516,3.098,1.785,111.502,113.622,110.253,111.609,0.813
Track_53,53,17,0,0,0,0,0,2.000,35.500,37.500,33.590,53,344.999,857.348,0,16.817,23.712,13.816,16.242,2.745,182.443,218.737,118.455,199.663,32.465
Track_54,54,97,0,0,0,0,0,12.000,37.250,49.250,213.309,54,1131.184,530.905,0,17.882,37.629,3.895,16.906,6.659,159.685,233.802,119.177,155.545,22.305
Track_55,55,49,1,1,0,0,0,6.125,38.000,44.125,79.782,55,415.463,858.032,0,12.932,21.616,2.616,14.383,4.502,174.758,218.452,111.783,182.029,28.989
Track_62,62,6,1,14,0,0,0,2.375,41.875,44.250,8.336,62,99.466,748.822,0,7.143,12.515,2.389,8.277,4.403,137.356,145.897,127.322,141.182,7.284
Track_65,65,658,0,0,0,0,0,82.125,44.000,126.125,1330.551,65,649.856,602.399,0,16.224,61.184,0.000,16.510,7.295,334.671,590.132,197.072,332.736,35.966
Track_67,67,31,1,1,0,0,0,3.875,47.000,50.875,71.903,67,502.077,857.241,0,18.344,26.433,10.385,20.002,5.071,218.574,267.999,113.997,237.313,42.414
Track_70,70,766,0,0,0,0,0,95.625,49.625,145.250,1330.551,70,641.362,944.318,0,13.959,57.233,0.000,13.921,5.501,241.286,465.616,178.188,236.125,38.416
Track_71,71,34,0,0,0,0,0,4.125,50.125,54.250,70.991,71,1296.006,527.634,0,17.591,42.305,9.641,14.171,8.151,149.064,230.119,124.997,143.330,22.732
Track_72,72,19,0,0,0,0,0,2.250,52.000,54.250,25.645,72,562.829,857.106,0,11.414,22.391,8.022,9.325,4.722,205.710,245.720,119.767,219.093,39.364
Track_79,79,17,0,0,0,0,0,2.000,57.250,59.250,32.989,79,652.663,856.475,0,16.507,24.140,12.415,16.706,3.393,214.950,264.126,125.445,230.929,46.378
Track_80,80,7,2,10,0,0,0,2.125,57.875,60.000,6.644,80,608.612,602.239,0,8.615,11.365,2.899,9.632,3.157,112.065,115.392,110.312,111.539,1.630
Track_81,81,4,1,11,0,0,0,1.750,58.750,60.500,3.856,81,614.032,624.638,0,6.091,9.196,2.366,6.712,3.457,131.795,133.563,130.144,133.148,1.569
Track_83,83,19,0,0,0,0,0,2.250,60.375,62.625,37.658,83,700.696,856.223,0,16.754,25.941,9.694,15.335,4.029,227.889,281.488,111.090,258.172,58.437
Track_86,86,682,0,0,0,0,0,85.125,63.750,148.875,1330.554,86,636.445,661.108,0,15.658,41.085,0.000,15.870,6.596,246.919,558.212,121.643,245.968,56.091
Track_87,87,699,0,0,0,0,0,87.250,64.000,151.250,1330.566,87,618.644,876.803,0,15.339,46.039,0.144,15.598,6.321,308.845,540.573,213.404,308.276,45.752
Track_89,89,12,2,12,0,0,0,3.000,65.375,68.375,11.066,89,700.896,626.722,0,5.162,11.145,0.698,3.188,4.276,136.289,147.635,111.415,147.093,13.825
Track_91,91,303,3,4,0,0,0,38.750,66.250,105.000,548.473,91,1042.463,858.099,0,14.381,45.145,0.072,14.754,7.465,231.923,464.509,110.779,238.149,51.313
Track_92,92,593,0,0,0,0,0,74.000,67.000,141.000,1330.558,92,661.812,845.093,0,18.051,51.876,0.000,18.559,8.042,442.970,649.147,282.219,437.302,52.726
Track_93,93,20,0,0,0,0,0,2.375,67.375,69.750,30.259,93,18.523,776.474,0,13.027,58.801,5.200,10.096,11.592,239.157,396.702,112.217,258.401,71.149
